"","Year","Region","Anomaly"
"191",2005,"Oceania",1.12
"192",2006,"Oceania",0.61
"193",2007,"Oceania",0.78
"194",2008,"Oceania",0.56
"195",2009,"Oceania",0.99
"196",2010,"Oceania",0.58
"197",2011,"Oceania",0.2
"198",2012,"Oceania",0.41
"199",2013,"Oceania",1.32
"200",2014,"Oceania",1.08
"201",2015,"Oceania",1.05
"202",2016,"Oceania",1.17
"203",2017,"Oceania",1.11
"204",2018,"Oceania",1.13
"205",1985,"South America",0.22
"206",1986,"South America",0.35
"207",1987,"South America",0.66
"208",1988,"South America",0.31
"209",1989,"South America",0.24
"210",1990,"South America",0.4
"211",1991,"South America",0.45
"212",1992,"South America",0.32
"213",1993,"South America",0.44
"214",1994,"South America",0.6
"215",1995,"South America",0.59
"216",1996,"South America",0.4
"217",1997,"South America",0.76
"218",1998,"South America",0.96
"219",1999,"South America",0.38
"220",2000,"South America",0.3
"221",2001,"South America",0.6
"222",2002,"South America",0.81
"223",2003,"South America",0.76
"224",2004,"South America",0.68
"225",2005,"South America",0.78
"226",2006,"South America",0.76
"227",2007,"South America",0.57
"228",2008,"South America",0.62
"229",2009,"South America",0.86
"230",2010,"South America",0.83
"231",2011,"South America",0.66
"232",2012,"South America",0.87
"233",2013,"South America",0.77
"234",2014,"South America",0.98
"235",2015,"South America",1.32
"236",2016,"South America",1.05
"237",2017,"South America",1.09
"238",2018,"South America",0.88
