Date,Air_temp,Sea_temp,Wind_speed,Air_sea_temp,MM,Air_temp_f,Sea_temp_f
2009-04-28,26.5,27.1,10.4,-1,4,26.5,27.1
2009-04-29,26.5,27,8.6,0,4,26.5,27
2009-04-30,26.6,27,5.4,0,4,26.6,27
2009-05-01,26.1,27.1,4.8,-1,5,26.1,27.1
2009-05-02,26.4,27.1,6.8,-1,5,26.4,27.1
2009-05-03,26.7,27.2,6.2,0,5,26.7,27.2
2009-05-04,26.9,27.4,6.6,0,5,26.9,27.4
2009-05-05,26.8,27.4,8.3,-1,5,26.8,27.4
2009-05-06,26.8,27.2,10.3,0,5,26.8,27.2
2009-05-07,26,27.1,9.3,-1,5,26,27.1
2009-05-08,26.8,27.2,7.9,0,5,26.8,27.2
2009-05-09,27,27.2,6.8,0,5,27,27.2
2009-05-10,26.6,27.3,7.9,-1,5,26.6,27.3
2009-05-11,26.2,27.2,8.3,-1,5,26.2,27.2
2009-05-12,26.8,27.3,5.3,0,5,26.8,27.3
2009-05-13,26,27.3,10.3,-1,5,26,27.3
2009-05-14,26.5,27.2,7.9,-1,5,26.5,27.2
2009-05-15,26.1,27.2,7.9,-1,5,26.1,27.2
2009-05-16,26.6,27.1,7.6,0,5,26.6,27.1
2009-05-17,26.6,27.1,7.8,0,5,26.6,27.1
2009-05-18,26.8,27.2,6.8,0,5,26.8,27.2
2009-05-19,27.4,27.3,6.4,0,5,27.4,27.3
2009-05-20,27.4,27.4,6.2,0,5,27.4,27.4
2009-05-21,27.5,27.6,4.1,0,5,27.5,27.6
2009-05-22,27.6,27.8,6.2,0,5,27.6,27.8
2009-05-23,27.8,27.7,8.1,0,5,27.8,27.7
2009-05-24,27.7,27.9,5.6,0,5,27.7,27.9
2009-05-25,27.5,28,7.2,0,5,27.5,28
2009-05-26,27.9,28.1,6,0,5,27.9,28.1
2009-05-27,28.1,28.1,7.3,0,5,28.1,28.1
2009-05-28,27.8,28.1,6.5,0,5,27.8,28.1
2009-05-29,27.9,28.1,5.5,0,5,27.9,28.1
2009-05-30,27.5,28,7.2,0,5,27.5,28
2009-05-31,27.4,28,4.4,-1,5,27.4,28
2009-06-01,27.6,28.1,6.7,0,6,27.6,28.1
2009-06-02,27.5,28.2,7.3,-1,6,27.5,28.2
2009-06-03,27.9,28.1,7.5,0,6,27.9,28.1
2009-06-04,26,28,4.6,-2,6,26,28
2009-06-05,27.7,28,8.1,0,6,27.7,28
2009-06-06,26.1,28,6.1,-2,6,26.1,28
2009-06-07,27.6,28.1,7.1,0,6,27.6,28.1
2009-06-08,28.1,28.2,7.3,0,6,28.1,28.2
2009-06-09,28.1,28.2,7.2,0,6,28.1,28.2
2009-06-10,28.1,28.3,6.2,0,6,28.1,28.3
2009-06-11,27.4,28.3,7,-1,6,27.4,28.3
2009-06-12,27.9,28.3,6.8,0,6,27.9,28.3
2009-06-13,28.2,28.5,4.8,0,6,28.2,28.5
2009-06-14,27.9,28.4,7.4,0,6,27.9,28.4
2009-06-15,27.5,28.4,7.3,-1,6,27.5,28.4
2009-06-16,27.8,28.4,8.5,-1,6,27.8,28.4
2009-06-17,27.9,28.4,7.4,0,6,27.9,28.4
2009-06-18,27.9,28.3,7.2,0,6,27.9,28.3
2009-06-19,27.3,28.2,6.3,-1,6,27.3,28.2
2009-06-20,27.8,28.1,8.3,0,6,27.8,28.1
2009-06-21,27.8,28.4,4.8,-1,6,27.8,28.4
2009-06-22,27.9,28.3,5.9,0,6,27.9,28.3
2009-06-23,28,28.1,6,0,6,28,28.1
2009-06-24,28,28.1,6.7,0,6,28,28.1
2009-06-25,28.1,28.3,7.2,0,6,28.1,28.3
2009-06-26,28.1,28.2,5.1,0,6,28.1,28.2
2009-06-27,28,28.2,6.8,0,6,28,28.2
2009-06-28,27.9,28.2,4.5,0,6,27.9,28.2
2009-06-29,27.8,28.4,4.7,-1,6,27.8,28.4
2009-06-30,27.8,28.2,5.9,0,6,27.8,28.2
2009-07-01,28.2,28.4,6.4,0,7,28.2,28.4
2009-07-02,28.2,28.4,7.8,0,7,28.2,28.4
2009-07-03,28.4,28.5,8.8,0,7,28.4,28.5
2009-07-04,28.6,28.5,7.4,0,7,28.6,28.5
2009-07-05,28.5,28.5,10.4,0,7,28.5,28.5
2009-07-06,28.4,28.4,8.7,0,7,28.4,28.4
2009-07-07,27.9,28.1,8.3,0,7,27.9,28.1
2009-07-08,28,28.1,5.4,0,7,28,28.1
2009-07-09,28.3,28.4,5.4,0,7,28.3,28.4
2009-07-10,27.8,28.2,7.8,0,7,27.8,28.2
2009-07-11,28.4,28.6,6.1,0,7,28.4,28.6
2009-07-12,28.1,28.1,6.2,0,7,28.1,28.1
2009-07-13,28.2,28,7.4,0,7,28.2,28
2009-07-14,28.4,28.3,6.6,0,7,28.4,28.3
2009-07-15,27.6,28.1,7.8,0,7,27.6,28.1
2009-07-16,28.3,28,8,0,7,28.3,28
2009-07-17,28.2,28.2,8.8,0,7,28.2,28.2
2009-07-18,28.4,28.6,9.4,0,7,28.4,28.6
2009-07-19,28.2,28.1,7.4,0,7,28.2,28.1
2009-07-20,28.4,28.1,9.8,0,7,28.4,28.1
2009-07-21,28.2,27.6,9.5,1,7,28.2,27.6
2009-07-22,28.3,27.7,8.7,1,7,28.3,27.7
2009-07-23,28.5,28.2,8.9,0,7,28.5,28.2
2009-07-24,28.4,28.5,6.4,0,7,28.4,28.5
2009-07-25,28.4,28.5,7,0,7,28.4,28.5
2009-07-26,28,28.4,9.6,0,7,28,28.4
2009-07-27,28.5,28.4,9.2,0,7,28.5,28.4
2009-07-28,29,28.4,8.6,1,7,29,28.4
2009-07-29,27.5,28.4,8,-1,7,27.5,28.4
2009-07-30,27.3,28.4,9.2,-1,7,27.3,28.4
2009-07-31,28.6,28.4,7.8,0,7,28.6,28.4
2009-08-01,28.2,28.4,7.7,0,8,28.2,28.4
2009-08-02,28.2,28.5,6.8,0,8,28.2,28.5
2009-08-03,28.3,28.5,6.6,0,8,28.299999999999997,28.5
2009-08-04,28.6,28.5,8,0,8,28.6,28.5
2009-08-05,28.1,28.5,6.7,0,8,28.1,28.5
2009-08-06,28.6,28.5,7.7,0,8,28.6,28.5
2009-08-07,28.6,28.5,8.7,0,8,28.6,28.5
2009-08-08,28.5,28.5,7.5,0,8,28.5,28.5
2009-08-09,28.3,28.5,6.1,0,8,28.3,28.5
2009-08-10,28.2,28.5,7,0,8,28.2,28.5
2009-08-11,28.3,28.5,7.2,0,8,28.3,28.5
2009-08-12,28.4,28.6,6.3,0,8,28.4,28.6
2009-08-13,28.7,28.7,11,0,8,28.7,28.7
2009-08-14,28.3,28.6,7.8,0,8,28.3,28.6
2009-08-15,28,28.8,7.3,-1,8,28,28.8
2009-08-16,28.2,28.7,6.3,0,8,28.2,28.7
2009-08-17,28.3,28.8,9.5,0,8,28.3,28.8
2009-08-18,28.6,28.7,8,0,8,28.6,28.7
2009-08-19,28.4,28.8,5.4,0,8,28.4,28.8
2009-08-20,28,28.9,4.4,-1,8,28,28.9
2009-08-21,28.7,28.8,5.6,0,8,28.7,28.8
2009-08-22,28.9,28.9,8.8,0,8,28.9,28.9
2009-08-23,28.9,28.8,9.4,0,8,28.9,28.8
2009-08-24,28.6,28.9,7.2,0,8,28.6,28.9
2009-08-25,28,29,4.3,-1,8,28,29
2009-08-26,28.8,29,7,0,8,28.8,29
2009-08-27,28.6,29,5.4,0,8,28.6,29
2009-08-28,28.4,29,6.9,-1,8,28.4,29
2009-08-29,28.5,29.1,7.1,-1,8,28.5,29.1
2009-08-30,28.8,29.1,8,0,8,28.8,29.1
2009-08-31,28.9,29.1,6.4,0,8,28.9,29.1
2009-09-01,29,29,7.5,0,9,29,29
2009-09-02,28.7,29,7.7,0,9,28.7,29
2009-09-03,25.8,29,10.4,-3,9,25.8,29
2009-09-04,26.2,29,8.2,-3,9,26.2,29
2009-09-05,28.4,28.9,5.8,0,9,28.4,28.9
2009-09-06,28.7,28.9,7.8,0,9,28.7,28.9
2009-09-07,28.4,28.9,7.8,0,9,28.4,28.9
2009-09-08,28.3,29,5.2,-1,9,28.3,29
2009-09-09,28.5,29,4.3,0,9,28.5,29
2009-09-10,29,29.2,3.2,0,9,29,29.2
2009-09-11,28.5,29,6.4,0,9,28.5,29
2009-09-12,28.5,29,5.2,0,9,28.5,29
2009-09-13,27.7,29.1,1.9,-1,9,27.7,29.1
2009-09-14,28.6,29.1,6.8,0,9,28.6,29.1
2009-09-15,28.6,29.2,5.5,-1,9,28.6,29.199999999999996
2009-09-16,28.2,29.2,9.2,-1,9,28.2,29.2
2009-09-17,28.5,29.2,7.2,-1,9,28.5,29.199999999999996
2009-09-18,28.5,29.3,4.7,-1,9,28.5,29.3
2009-09-19,28.7,29.2,5.3,0,9,28.7,29.2
2009-09-20,29,29.3,5.8,0,9,29,29.3
2009-09-21,28.7,29.3,6.1,-1,9,28.7,29.3
2009-09-22,28.8,29.4,5.8,-1,9,28.8,29.4
2009-09-23,28.8,29.4,5.2,-1,9,28.8,29.4
2009-09-24,28.9,29.5,5.2,-1,9,28.9,29.5
2009-09-25,29.1,29.6,5.3,0,9,29.1,29.6
2009-09-26,29.2,29.5,5,0,9,29.2,29.5
2009-09-27,29.3,29.6,5.4,0,9,29.3,29.6
2009-09-28,29.2,29.5,6.8,0,9,29.2,29.5
2009-09-29,28.6,29.5,6.4,-1,9,28.6,29.5
2009-09-30,28.9,29.4,5.3,0,9,28.9,29.4
2009-10-01,28.7,29.5,5.3,-1,10,28.7,29.5
2009-10-02,29,29.3,5.8,0,10,29,29.3
2009-10-03,29,29.3,5.5,0,10,29,29.3
2009-10-04,28.8,29.4,3.7,-1,10,28.8,29.4
2009-10-05,29.3,29.5,6.6,0,10,29.3,29.5
2009-10-06,28.9,29.5,8.4,-1,10,28.9,29.5
2009-10-07,28.8,29.4,6.4,-1,10,28.8,29.4
2009-10-08,28.7,29.5,3.9,-1,10,28.7,29.5
2009-10-09,29,29.5,3.4,0,10,29,29.5
2009-10-10,29.2,29.5,4.7,0,10,29.2,29.5
2009-10-11,28.5,29.5,5.2,-1,10,28.5,29.5
2009-10-12,28.7,29.5,5.8,-1,10,28.7,29.5
2009-10-13,28.6,29.5,6.9,-1,10,28.6,29.5
2009-10-14,28.8,29.5,4.4,-1,10,28.8,29.5
2009-10-15,29.1,29.6,3,0,10,29.1,29.6
2009-10-16,29.2,29.5,6.9,0,10,29.2,29.5
2009-10-17,29.2,29.6,8.5,0,10,29.2,29.6
2009-10-18,28.9,29.5,7.2,-1,10,28.9,29.5
2009-10-19,28.6,29.5,6.1,-1,10,28.6,29.5
2009-10-20,28.3,29.6,4.3,-1,10,28.3,29.6
2009-10-21,28.4,29.6,4.4,-1,10,28.4,29.6
2009-10-22,28.6,29.8,1.8,-1,10,28.6,29.8
2009-10-23,28.6,29.6,6,-1,10,28.6,29.6
