Date,Air_temp,Sea_temp,Wind_speed,Air_sea_temp,MM,Air_temp_f,Sea_temp_f
2001-07-13,10.8,11.7,9.7,-1,7,10.8,11.7
2001-07-14,11.3,11.4,4.3,0,7,11.3,11.4
2001-07-15,11.4,12.1,5.2,-1,7,11.4,12.1
2001-07-16,11.3,12,1.6,-1,7,11.3,12
2001-07-17,12.1,12.1,5.1,0,7,12.1,12.1
2001-07-18,12.1,12.5,5.6,0,7,12.099999999999998,12.5
2001-07-19,12.9,12.6,6.5,0,7,12.900000000000002,12.599999999999998
2001-07-20,12.1,12.6,6.8,0,7,12.1,12.6
2001-07-21,12.8,13.2,5.7,0,7,12.8,13.2
2001-07-22,11.8,12.9,5.6,-1,7,11.8,12.900000000000002
2001-07-23,12.1,12.8,5.9,-1,7,12.1,12.8
2001-07-24,12.1,12.9,1.8,-1,7,12.1,12.900000000000002
2001-07-25,13.3,12.8,2.9,0,7,13.3,12.8
2001-07-26,12.9,12.6,4,0,7,12.9,12.6
2001-07-27,12.8,12.8,6.1,0,7,12.8,12.8
2001-07-28,12.5,13.2,2.9,-1,7,12.5,13.2
2001-07-29,12.9,12.6,8.5,0,7,12.899999999999999,12.599999999999998
2001-07-30,12.1,13.6,2.5,-2,7,12.1,13.6
2001-07-31,12,13.4,8.7,-1,7,12,13.400000000000002
2001-08-01,13.4,12.5,7.7,1,8,13.4,12.5
2001-08-02,13.4,12.8,6.6,1,8,13.400000000000002,12.8
2001-08-03,12.9,13.4,2.6,0,8,12.899999999999999,13.4
2001-08-04,13.3,13.7,3,0,8,13.3,13.7
2001-08-05,13.3,14.4,2,-1,8,13.3,14.4
2001-08-06,13.7,14.4,3.1,-1,8,13.7,14.400000000000002
2001-08-07,14.4,14.5,1.2,0,8,14.4,14.5
2001-08-08,14.5,14.9,3.9,0,8,14.5,14.9
2001-08-09,14.4,15.3,3.8,-1,8,14.4,15.3
2001-08-10,14.7,15.6,4.8,-1,8,14.7,15.600000000000001
2001-08-11,14.1,15.3,2.6,-1,8,14.099999999999998,15.3
2001-08-12,14.4,15.3,5.1,-1,8,14.400000000000002,15.3
