Date,Air_temp,Sea_temp,Wind_speed,Air_sea_temp,MM,Air_temp_f,Sea_temp_f
1985-01-01,24.2,24,7.2,0,1,24.199999999999996,24
1985-01-02,23.7,24.1,4.7,0,1,23.7,24.1
1985-01-03,23.4,23.8,8.6,0,1,23.4,23.8
1985-01-04,17.4,23.2,12.7,-6,1,17.4,23.2
1985-01-05,17,22.8,7.7,-6,1,17,22.8
1985-01-06,19.1,22.9,1.3,-4,1,19.1,22.9
1985-01-07,21,22.9,3.8,-2,1,21,22.9
1985-01-08,20.7,22.9,3.6,-2,1,20.7,22.9
1985-01-09,20.9,22.8,5,-2,1,20.9,22.8
1985-01-10,22.5,22.9,3.6,0,1,22.5,22.9
1985-01-11,21.6,22.8,9.8,-1,1,21.6,22.800000000000004
1985-01-12,18.6,22.7,13.4,-4,1,18.6,22.700000000000003
1985-01-13,19.2,22.4,9.7,-3,1,19.2,22.4
1985-01-14,22,22.4,8.2,0,1,22,22.4
1985-01-15,19.1,22.4,6.3,-3,1,19.1,22.4
1985-01-16,22.5,22.3,8.2,0,1,22.5,22.3
1985-01-17,21.7,22.4,13.4,-1,1,21.7,22.4
1985-01-18,18.5,22.2,6,-4,1,18.5,22.2
1985-01-19,19.3,22.1,5.7,-3,1,19.3,22.1
1985-01-20,21.9,22.2,7.8,0,1,21.9,22.2
1985-01-21,11,21.8,13,-11,1,11,21.8
1985-01-22,12.8,21.6,5.3,-9,1,12.8,21.6
1985-01-23,16.1,21.5,4.2,-5,1,16.1,21.5
1985-01-24,21.3,21.7,8.7,0,1,21.3,21.7
1985-01-25,21.6,22.1,1.7,0,1,21.6,22.1
1985-01-26,20.1,21.8,8.9,-2,1,20.1,21.8
1985-01-27,19.7,21.7,5.3,-2,1,19.7,21.7
1985-01-28,22.1,21.7,6.7,0,1,22.1,21.7
1985-01-29,20,21.6,6.9,-2,1,20,21.6
1985-01-30,22.6,21.9,6.4,1,1,22.6,21.9
