Date,Air_temp,Sea_temp,Wind_speed,Air_sea_temp,MM,Air_temp_f,Sea_temp_f
1985-01-01,9.4,11.4,3.9,-2,1,9.4,11.4
1985-01-02,8,11.3,2.5,-3,1,8,11.3
1985-01-03,9.4,11.5,2.5,-2,1,9.4,11.5
1985-01-04,10.4,11.5,2.6,-1,1,10.4,11.5
1985-01-05,10.9,11.6,2.4,-1,1,10.9,11.6
1985-01-06,12.1,11.2,4.1,1,1,12.1,11.2
1985-01-07,11.1,11.7,7.3,-1,1,11.1,11.7
1985-01-08,9,11.5,3.6,-2,1,9,11.5
1985-01-09,10.3,11.9,4.4,-2,1,10.3,11.9
1985-01-10,7.8,11.8,1.9,-4,1,7.800000000000001,11.8
1985-01-11,9.7,11.7,3.4,-2,1,9.7,11.7
1985-01-12,9.5,11.8,2.7,-2,1,9.5,11.8
1985-01-13,9.4,11.8,2,-2,1,9.4,11.8
1985-01-14,9,11.8,0,-3,1,9,11.8
1985-01-15,9.4,11.7,1.3,-2,1,9.4,11.7
1985-01-16,10.7,11.7,2.1,-1,1,10.7,11.7
1985-01-17,10.9,11.8,1.5,-1,1,10.9,11.8
1985-01-18,9.8,11.8,6,-2,1,9.8,11.8
1985-01-19,9.2,11.7,1.6,-2,1,9.2,11.7
1985-01-20,9.8,11.6,0.7,-2,1,9.8,11.6
1985-01-21,9.4,11.7,0.8,-2,1,9.4,11.7
1985-01-22,9.2,11.5,1.4,-2,1,9.2,11.5
1985-01-23,8.4,11.6,3.5,-3,1,8.4,11.6
1985-01-24,10.3,11.5,2,-1,1,10.3,11.5
1985-01-25,10,11.4,4,-1,1,10,11.4
1985-01-26,8.6,11.4,2.9,-3,1,8.6,11.4
1985-01-27,8.1,11.6,0.6,-4,1,8.1,11.6
1985-01-28,7.8,11.4,5.7,-4,1,7.800000000000001,11.4
1985-01-29,9.2,11.3,7.4,-2,1,9.2,11.3
1985-01-30,9.4,11.6,8.3,-2,1,9.4,11.6
1985-01-31,9.8,11.1,8.9,-1,1,9.8,11.1
1985-02-01,9.7,11.1,9.6,-1,2,9.7,11.1
1985-02-02,8.9,10.8,9.7,-2,2,8.9,10.8
1985-02-03,8.7,10.9,5.2,-2,2,8.7,10.9
1985-02-04,7.5,10.5,8.3,-3,2,7.5,10.5
1985-02-05,7.1,11.1,1.4,-4,2,7.1,11.1
1985-02-06,9.1,10.9,5.8,-2,2,9.1,10.9
1985-02-07,10,10.8,6.3,-1,2,10,10.8
1985-02-08,7.7,10.8,7.2,-3,2,7.7,10.8
1985-02-09,6.4,10.6,4.4,-4,2,6.4,10.6
1985-02-10,6.3,10.5,2.9,-4,2,6.3,10.5
1985-02-11,10.1,10.9,8.9,-1,2,10.1,10.9
1985-02-12,10.5,11.1,4.7,-1,2,10.5,11.1
1985-02-13,8.2,11.2,2.4,-3,2,8.2,11.2
1985-02-14,7.8,11.1,3.9,-3,2,7.8,11.1
1985-02-15,9.9,10.8,6.9,-1,2,9.9,10.8
1985-02-16,10.3,11,9.9,-1,2,10.3,11
1985-02-17,9.9,10.9,9.7,-1,2,9.9,10.9
1985-02-18,9,10.9,2.9,-2,2,9,10.9
1985-02-19,9.8,11,9.7,-1,2,9.8,11
1985-02-20,9.5,10.9,10.8,-1,2,9.5,10.9
1985-02-21,10.1,10.2,10.3,0,2,10.1,10.2
1985-02-22,10.3,9.9,11.7,0,2,10.3,9.9
1985-02-23,10.2,9.8,8.8,0,2,10.2,9.8
1985-02-24,8.9,10.1,1.5,-1,2,8.9,10.1
1985-02-25,9.4,9.6,10.9,0,2,9.399999999999999,9.6
1985-02-26,9.6,9.4,9.8,0,2,9.6,9.4
1985-02-27,9.2,9.6,2.1,0,2,9.2,9.6
1985-02-28,9.8,10.3,1.8,0,2,9.8,10.3
1985-03-01,8.6,10.2,4.9,-2,3,8.6,10.2
1985-03-02,8,9.1,16.6,-1,3,8,9.1
1985-03-03,8,8.7,13.9,-1,3,8,8.7
1985-03-04,7.5,8.9,10.2,-1,3,7.5,8.9
1985-03-05,6.2,8.9,6.8,-3,3,6.2,8.9
1985-03-06,7.1,9.1,8.6,-2,3,7.1,9.1
1985-03-07,7,9.3,7.9,-2,3,7,9.3
1985-03-08,7.8,9.5,3.9,-2,3,7.799999999999999,9.5
1985-03-09,10.9,9.8,5.8,1,3,10.900000000000002,9.8
1985-03-10,10.5,10.3,6.6,0,3,10.5,10.3
1985-03-11,9.5,10.3,7.3,-1,3,9.5,10.3
1985-03-12,8.3,9.6,11.5,-1,3,8.3,9.6
1985-03-13,8,9.6,0.4,-2,3,8,9.6
1985-03-14,8.2,10.1,2.2,-2,3,8.2,10.1
1985-03-15,8.8,9.9,6.8,-1,3,8.8,9.899999999999999
1985-03-16,8.6,10.1,0.3,-2,3,8.6,10.1
1985-03-17,10.1,10.4,5.2,0,3,10.1,10.4
1985-03-18,9.8,10.3,2.6,0,3,9.8,10.3
1985-03-19,8.8,9.7,11.8,-1,3,8.8,9.7
1985-03-20,9.5,9.6,7.6,0,3,9.5,9.6
1985-03-21,8.3,9.5,8.6,-1,3,8.3,9.5
1985-03-22,8.2,9.3,5.8,-1,3,8.2,9.3
1985-03-23,9,9.5,2.7,0,3,9,9.5
1985-03-24,9.6,10.2,5,-1,3,9.6,10.2
1985-03-25,6.2,10,1.2,-4,3,6.200000000000001,10
1985-03-26,6.8,10,11.7,-3,3,6.800000000000001,10
