Date,Air_temp,Sea_temp,Wind_speed,Air_sea_temp,MM,Air_temp_f,Sea_temp_f
1985-09-14,8.6,NA,4.5,NA,9,8.6,9.824827913885589
1985-09-15,5.8,NA,3.1,NA,9,5.8,9.832532140379202
1985-09-16,7.4,NA,1.9,NA,9,7.4,9.574800317220436
1985-09-17,6.9,NA,2,NA,9,6.9,9.668823722003994
1985-09-18,7.4,NA,4.9,NA,9,7.4,9.373734521441127
1985-09-19,6.9,NA,4.8,NA,9,6.9,9.453584966478104
1985-09-20,8.4,NA,4.2,NA,9,8.4,9.355178694993853
1985-09-21,7.9,NA,5.4,NA,9,7.9,9.344321951950818
1985-09-22,6.8,NA,6.3,NA,9,6.8,9.011138003927437
1985-09-23,6.5,NA,0.9,NA,9,6.5,8.966235988843021
1985-09-24,8.1,NA,10.2,NA,9,8.1,8.901787493910842
1985-09-25,8.3,NA,10.8,NA,9,8.3,8.864011014071682
1985-09-26,8.2,NA,5.1,NA,9,8.2,8.809027590458946
1985-09-27,8.1,NA,6.3,NA,9,8.1,8.68679461775768
1985-09-28,5.6,NA,7,NA,9,5.6,8.69081742843811
1985-09-29,7,NA,1.6,NA,9,7,8.682170391163835
1985-09-30,6.9,NA,2.2,NA,9,6.9,8.359900107366046
1985-10-01,5.3,NA,4.6,NA,10,5.3,8.314383576507264
1985-10-02,5.2,NA,3.1,NA,10,5.2,8.401653100467144
1985-10-03,2.8,8.4,0.6,-6,10,2.8,8.4
1985-10-04,6.1,8.5,10.8,-2,10,6.1,8.5
1985-10-05,8.2,8.5,7.2,0,10,8.2,8.5
1985-10-06,7.9,8.5,5.5,-1,10,7.9,8.5
1985-10-07,7.9,8.3,7.3,0,10,7.9,8.3
1985-10-08,6.7,8.1,14.2,-1,10,6.699999999999999,8.1
1985-10-09,4.1,8,11.3,-4,10,4.1,8
1985-10-10,5.5,7.8,1.8,-2,10,5.5,7.799999999999999
1985-10-11,5.3,7.8,6,-2,10,5.3,7.8
1985-10-12,5,7.6,8.5,-3,10,5,7.6
1985-10-13,5.5,7.6,6.3,-2,10,5.5,7.6
1985-10-14,7.6,7.3,14.3,0,10,7.6,7.3
1985-10-15,6.6,7,7.7,0,10,6.6,7
1985-10-16,4.8,6.9,10.6,-2,10,4.8,6.9
1985-10-17,3.1,6.8,7.2,-4,10,3.1,6.8
1985-10-18,6.1,6.8,9.9,-1,10,6.1,6.8
1985-10-19,7.4,6.9,8.7,0,10,7.4,6.9
1985-10-20,4.7,6.8,10.8,-2,10,4.7,6.8
1985-10-21,4.5,6.7,1.4,-2,10,4.5,6.700000000000001
1985-10-22,3,6.6,2.6,-4,10,3,6.6
1985-10-23,2.1,6.6,6.5,-4,10,2.1,6.6
1985-10-24,2.8,6.5,5.2,-4,10,2.8,6.5
1985-10-25,3.2,6.5,3.6,-3,10,3.2,6.5
1985-10-26,6.1,6.5,10,0,10,6.1,6.5
1985-10-27,5.9,6.3,11.2,0,10,5.9,6.3
1985-10-28,1.3,5.9,6.7,-5,10,1.2999999999999998,5.9
1985-10-29,2.5,5.7,18.7,-3,10,2.5,5.7
1985-10-30,2.2,5.3,15.1,-3,10,2.2,5.3
1985-10-31,2,5.1,9.1,-3,10,2,5.1
1985-11-01,1.8,5,2.8,-3,11,1.7999999999999998,5
1985-11-02,3.5,5,4.6,-2,11,3.5,5
1985-11-03,4.1,5,13.9,-1,11,4.1,5
1985-11-04,5,5.1,7.9,0,11,5,5.1
1985-11-05,2.8,5.1,10.7,-2,11,2.8,5.1
1985-11-06,1.4,4.9,6.4,-4,11,1.3999999999999997,4.9
1985-11-07,3,5,6.9,-2,11,3,5
1985-11-08,2.2,4.9,14.3,-3,11,2.2,4.9
1985-11-09,4.5,4.9,9.2,0,11,4.5,4.9
1985-11-10,0.5,4.5,15.3,-4,11,0.4999999999999998,4.5
1985-11-11,3.1,4.6,10.1,-1,11,3.1,4.6
1985-11-12,2.2,4.5,4.7,-2,11,2.2,4.5
1985-11-13,3.5,4.6,7.6,-1,11,3.5,4.6
1985-11-14,5.1,4.6,10.1,0,11,5.1,4.6
1985-11-15,5.6,4.6,9.5,1,11,5.6,4.6
1985-11-16,3.2,4.6,1.5,-1,11,3.2,4.6
1985-11-17,5.8,4.6,10.6,1,11,5.8,4.6
1985-11-18,4.4,4.5,10.7,0,11,4.4,4.5
1985-11-19,5.8,4.6,11.4,1,11,5.8,4.6
1985-11-20,5.3,4.5,9.4,1,11,5.299999999999999,4.5
1985-11-21,3.8,4.5,5.1,-1,11,3.8,4.5
1985-11-22,3.9,4.6,4.4,-1,11,3.9000000000000004,4.6
1985-11-23,4.8,4.5,9.4,0,11,4.799999999999999,4.5
1985-11-24,4.7,4.5,14.4,0,11,4.699999999999999,4.5
1985-11-25,3.6,4.5,7.5,-1,11,3.6,4.5
1985-11-26,2.2,4.4,11.6,-2,11,2.2000000000000006,4.4
1985-11-27,1,4.4,13.1,-3,11,1,4.4
1985-11-28,2.9,4.4,4.3,-2,11,2.9,4.4
1985-11-29,2.2,4.5,12.7,-2,11,2.2,4.5
1985-11-30,4.1,4.4,9,0,11,4.1,4.4
1985-12-01,2.7,4.5,8.3,-2,12,2.7,4.5
1985-12-02,2.2,4.4,10.2,-2,12,2.1999999999999997,4.4
1985-12-03,1.9,4.2,6.5,-2,12,1.8999999999999995,4.2
1985-12-04,2.3,4.7,1.6,-2,12,2.3,4.700000000000001
1985-12-05,0.8,4.2,9.4,-3,12,0.7999999999999998,4.2
