Date,Air_temp,Sea_temp,Wind_speed,Air_sea_temp,MM,Air_temp_f,Sea_temp_f
2004-05-19,6.7,6.6,3.3,0,5,6.700000000000001,6.6000000000000005
2004-05-20,5.5,6.6,4.4,-1,5,5.5,6.6000000000000005
2004-05-21,5.2,6.6,5.4,-1,5,5.200000000000001,6.6
2004-05-22,7,7,3.6,0,5,7,7.000000000000001
2004-05-23,7,6.7,4.7,0,5,7,6.699999999999999
2004-05-24,7.9,7,11.4,1,5,7.9,7
2004-05-25,6.3,6.7,8.4,0,5,6.3,6.699999999999999
2004-05-26,6.4,6.7,5.4,0,5,6.4,6.700000000000001
2004-05-27,6.1,7.4,6.7,-1,5,6.1,7.4
2004-05-28,6.1,7.1,3.2,-1,5,6.099999999999999,7.1
2004-05-29,7,7.4,6,0,5,7,7.400000000000001
2004-05-30,7.4,7.1,8.3,0,5,7.4,7.1
2004-05-31,7.4,7.1,4.7,0,5,7.4,7.1
2004-06-01,7.5,7.5,0.8,0,6,7.499999999999999,7.5
2004-06-02,6.7,7.7,9.3,-1,6,6.700000000000001,7.7
2004-06-03,7.9,7.5,9.6,0,6,7.9,7.5
2004-06-04,7.9,7.8,10.9,0,6,7.9,7.800000000000001
2004-06-05,7.8,7.5,5.6,0,6,7.800000000000001,7.499999999999999
2004-06-06,7.5,7.8,4.2,0,6,7.5,7.8
2004-06-07,7.5,7.9,7.5,0,6,7.5,7.9
2004-06-08,6.6,7.9,6.6,-1,6,6.6,7.8999999999999995
2004-06-09,7.2,7.9,8.7,-1,6,7.199999999999999,7.9
2004-06-10,7.1,NA,5.8,NA,6,7.1,7.666219919374932
2004-06-11,7.1,7.8,15.5,-1,6,7.1,7.799999999999999
2004-06-12,7.8,7.8,8.5,0,6,7.799999999999999,7.800000000000001
2004-06-13,7.4,7.8,5.1,0,6,7.4,7.799999999999999
2004-06-14,8.2,8.3,3.1,0,6,8.2,8.3
2004-06-15,7.9,8.2,5.9,0,6,7.900000000000001,8.2
2004-06-16,7.8,8.2,0.4,0,6,7.800000000000001,8.2
2004-06-17,8.5,8.6,3.7,0,6,8.5,8.600000000000001
2004-06-18,8.7,7.9,9.5,1,6,8.7,7.9
2004-06-19,8.3,8.2,3.7,0,6,8.3,8.2
2004-06-20,8.3,8.9,3.9,-1,6,8.3,8.899999999999999
2004-06-21,7.1,9.5,0.2,-2,6,7.1,9.5
2004-06-22,9.1,9,7,0,6,9.1,9
2004-06-23,9,9.4,6.4,0,6,9,9.399999999999999
2004-06-24,9.4,9.4,4.1,0,6,9.400000000000002,9.4
2004-06-25,9.7,9.8,2.5,0,6,9.7,9.8
2004-06-26,9.5,10.2,2.1,-1,6,9.5,10.2
2004-06-27,9.4,10.6,1,-1,6,9.4,10.6
2004-06-28,10.5,10.5,6,0,6,10.5,10.5
2004-06-29,10.5,9.8,10.3,1,6,10.5,9.8
2004-06-30,10.5,10.2,7.4,0,6,10.5,10.2
2004-07-01,10.6,10.2,9.1,0,7,10.6,10.2
2004-07-02,10.6,10.2,5.8,0,7,10.6,10.2
2004-07-03,10.2,10.5,4,0,7,10.2,10.5
2004-07-04,9.8,11.3,4.9,-2,7,9.8,11.3
2004-07-05,10.1,11.4,6,-1,7,10.1,11.4
2004-07-06,11.3,11.8,6.9,0,7,11.3,11.8
2004-07-07,11.8,12.1,7,0,7,11.8,12.1
2004-07-08,9.9,11.4,9.3,-2,7,9.9,11.4
2004-07-09,9.5,11.7,8.6,-2,7,9.5,11.7
2004-07-10,10.3,12.5,7.8,-2,7,10.3,12.5
2004-07-11,12.8,12.5,0.8,0,7,12.8,12.5
2004-07-12,11.1,12.9,6,-2,7,11.1,12.9
2004-07-13,11.4,12.9,9.1,-2,7,11.4,12.9
2004-07-14,12.1,12.1,7.1,0,7,12.1,12.1
2004-07-15,12.5,13.4,7,-1,7,12.5,13.4
2004-07-16,12.7,14,4.3,-1,7,12.7,14
2004-07-17,12.1,13.7,8.7,-2,7,12.1,13.7
2004-07-18,11.6,12.9,5.3,-1,7,11.599999999999998,12.899999999999999
2004-07-19,12.1,13.4,2.3,-1,7,12.1,13.4
2004-07-20,12.6,14.1,5.5,-2,7,12.6,14.1
2004-07-21,13.6,14.1,4,0,7,13.6,14.1
2004-07-22,12.1,13.8,7.7,-2,7,12.1,13.8
2004-07-23,13.4,14,3,-1,7,13.400000000000002,14
2004-07-24,12.9,13.6,4.2,-1,7,12.9,13.6
2004-07-25,12.9,13.4,10.3,0,7,12.9,13.4
2004-07-26,12.5,13.3,8.1,-1,7,12.5,13.3
2004-07-27,12,12.9,9.2,-1,7,12,12.9
2004-07-28,12.2,13.3,8.2,-1,7,12.2,13.3
2004-07-29,12,12.9,5.1,-1,7,12,12.9
2004-07-30,12.5,12.8,5.5,0,7,12.5,12.8
2004-07-31,12.5,12.9,1.7,0,7,12.5,12.9
2004-08-01,12.6,12.9,4.4,0,8,12.6,12.9
2004-08-02,13.3,13.3,10.1,0,8,13.3,13.3
2004-08-03,12.6,12.5,8.2,0,8,12.6,12.5
2004-08-04,12.5,12.5,5,0,8,12.5,12.5
2004-08-05,12.9,13.4,7.8,0,8,12.9,13.4
2004-08-06,13.3,13.6,12.5,0,8,13.3,13.6
2004-08-07,13.4,13.4,4.9,0,8,13.4,13.4
2004-08-08,13,14.2,3,-1,8,13,14.2
2004-08-09,14.4,14.1,8.3,0,8,14.4,14.1
2004-08-10,14.2,14.2,7.8,0,8,14.2,14.2
2004-08-11,13.7,14.1,4.5,0,8,13.7,14.1
2004-08-12,14.2,14.4,4.4,0,8,14.200000000000001,14.4
2004-08-13,14.3,14.9,3,-1,8,14.3,14.9
2004-08-14,14.9,15.3,3,0,8,14.9,15.3
2004-08-15,14.2,15.5,5,-1,8,14.2,15.499999999999998
2004-08-16,13.7,15.2,2.7,-2,8,13.7,15.2
2004-08-17,14.1,15.2,5.7,-1,8,14.099999999999998,15.2
2004-08-18,15.2,15.2,8.7,0,8,15.2,15.2
2004-08-19,14.2,14.9,8.6,-1,8,14.2,14.9
2004-08-20,14.9,14.9,6,0,8,14.9,14.9
2004-08-21,14.9,14.9,6.9,0,8,14.899999999999999,14.9
2004-08-22,14.2,14.9,12,-1,8,14.2,14.9
2004-08-23,13.4,14.5,11.8,-1,8,13.4,14.5
2004-08-24,14.1,14.8,1.6,-1,8,14.1,14.8
2004-08-25,14.4,14.9,6.3,0,8,14.4,14.9
2004-08-26,14.1,14.5,8.9,0,8,14.100000000000001,14.5
2004-08-27,13.7,13.4,9.6,0,8,13.7,13.4
2004-08-28,13.3,13.3,7.5,0,8,13.3,13.3
2004-08-29,12.6,12.8,6.3,0,8,12.6,12.8
2004-08-30,13.3,13.6,1.6,0,8,13.3,13.6
2004-08-31,13.3,14.1,7.9,-1,8,13.3,14.1
2004-09-01,NA,NA,NA,NA,9,14.337747355107217,14.036446746931135
2004-09-02,NA,NA,NA,NA,9,13.318067164250186,14.104881853319167
2004-09-03,NA,NA,NA,NA,9,13.518413390432563,13.951455491573293
2004-09-04,NA,NA,NA,NA,9,13.302202704838136,13.953633931554801
2004-09-05,NA,NA,NA,NA,9,13.03006546614869,13.86001381764433
2004-09-06,NA,NA,NA,NA,9,12.696992242667472,13.616766741389608
2004-09-07,NA,NA,NA,NA,9,12.65724963603442,13.497996705841922
2004-09-08,NA,NA,NA,NA,9,12.678203611863248,13.499326856459325
2004-09-09,NA,NA,NA,NA,9,12.461935342920766,13.468254157004399
2004-09-10,NA,NA,NA,NA,9,12.020342001838747,13.343962997054831
2004-09-11,NA,NA,NA,NA,9,12.420672603750878,13.228876851192561
2004-09-12,NA,NA,NA,NA,9,12.208493611079215,13.157477844243889
2004-09-13,NA,NA,NA,NA,9,11.97062888353511,12.784956901610661
2004-09-14,NA,NA,NA,NA,9,11.837338652430962,12.811829659508444
2004-09-15,NA,NA,NA,NA,9,11.715545129707236,12.621857405359252
2004-09-16,NA,NA,NA,NA,9,12.309421145236513,12.715079764490785
2004-09-17,NA,NA,NA,NA,9,11.956718672737534,12.631816032357781
2004-09-18,NA,NA,NA,NA,9,11.875974317439944,12.512877432020655
2004-09-19,NA,NA,NA,NA,9,11.8147676537545,12.612233247043633
2004-09-20,NA,NA,NA,NA,9,11.530636437614598,12.432816614202787
2004-09-21,NA,NA,NA,NA,9,11.13734297851396,12.25982898919804
2004-09-22,NA,NA,NA,NA,9,11.180493085031987,12.086787269134353
2004-09-23,NA,NA,NA,NA,9,10.84035710917835,12.013478693334271
2004-09-24,NA,NA,NA,NA,9,11.032414654645983,11.994588567514759
2004-09-25,NA,NA,NA,NA,9,10.857708913911585,11.920021550077452
2004-09-26,NA,NA,NA,NA,9,10.802719687031653,11.782339696892512
2004-09-27,NA,NA,NA,NA,9,10.605256272572893,11.59205390280194
2004-09-28,NA,NA,NA,NA,9,10.582104371953662,11.542909784773453
2004-09-29,NA,NA,NA,NA,9,10.41720170003314,11.359300592656213
