Date,Air_temp,Sea_temp,Wind_speed,Air_sea_temp,MM,Air_temp_f,Sea_temp_f
1995-12-13,19.6,22.1,7.7,-2,12,19.6,22.1
1995-12-14,21.9,22.2,5.6,0,12,21.9,22.2
1995-12-15,21.4,22.2,5.9,-1,12,21.4,22.2
1995-12-16,21.9,23,3.1,-1,12,21.9,23
1995-12-17,21.5,22.7,8,-1,12,21.5,22.7
1995-12-18,22.2,22.3,10,0,12,22.2,22.3
1995-12-19,21.9,22.7,7.9,-1,12,21.9,22.7
1995-12-20,12.5,22.2,10.2,-10,12,12.5,22.2
1995-12-21,11.7,21.9,4.1,-10,12,11.699999999999998,21.9
1995-12-22,13.1,21.9,5.1,-9,12,13.1,21.9
1995-12-23,9.5,21.4,8.5,-12,12,9.500000000000002,21.4
1995-12-24,8.7,20.6,7.4,-12,12,8.7,20.6
1995-12-25,11.1,21.2,5.9,-10,12,11.099999999999998,21.2
1995-12-26,14.1,21.2,6.6,-7,12,14.1,21.2
1995-12-27,14.1,21.2,5,-7,12,14.1,21.2
1995-12-28,10.5,21.2,7.3,-11,12,10.5,21.2
1995-12-29,12,21.2,6.9,-9,12,12,21.200000000000003
1995-12-30,17.7,21.9,5,-4,12,17.7,21.9
1995-12-31,20.5,21.9,5.9,-1,12,20.5,21.9
1996-01-01,21.1,22.2,5.5,-1,1,21.1,22.2
1996-01-02,23,23,7.6,0,1,22.999999999999996,23
1996-01-03,14.9,22.2,10.6,-7,1,14.9,22.2
1996-01-04,12.2,21.4,1.5,-9,1,12.2,21.4
1996-01-05,17.5,21.4,5.3,-4,1,17.5,21.4
1996-01-06,19.6,21.4,10.7,-2,1,19.6,21.4
1996-01-07,11,21.4,13.3,-10,1,11,21.4
1996-01-08,6.3,20.6,13.2,-14,1,6.300000000000001,20.6
1996-01-09,10.9,20.4,4.6,-9,1,10.899999999999999,20.4
1996-01-10,16,20.4,7.6,-4,1,16,20.4
1996-01-11,17.5,20.7,4.3,-3,1,17.5,20.7
1996-01-12,13.7,20.4,11.5,-7,1,13.7,20.4
