Date,Air_temp,Sea_temp,Wind_speed,Air_sea_temp,MM,Air_temp_f,Sea_temp_f
1985-01-01,12.6,13.2,8.9,-1,1,12.6,13.2
1985-01-02,12.1,13.1,9,-1,1,12.1,13.1
1985-01-03,13.2,13.3,10.5,0,1,13.2,13.3
1985-01-04,12.2,13.1,13,-1,1,12.2,13.1
1985-01-05,13,13.2,11.5,0,1,13,13.2
1985-01-06,11.5,13.1,7.1,-2,1,11.5,13.1
1985-01-07,11.8,13,5.4,-1,1,11.8,13
1985-01-08,11.5,13,11.5,-2,1,11.5,13
1985-01-09,11.8,12.5,10.7,-1,1,11.8,12.5
1985-01-10,14,12.6,14.8,1,1,14.000000000000002,12.600000000000001
1985-01-11,12.5,12.6,10.1,0,1,12.5,12.6
1985-01-12,13.5,12.6,14.6,1,1,13.5,12.6
1985-01-13,12,12.6,9,-1,1,12,12.6
1985-01-14,12.3,12.6,4.5,0,1,12.3,12.599999999999998
1985-01-15,14.1,12.8,15.2,1,1,14.100000000000001,12.8
1985-01-16,13.5,12.9,10.4,1,1,13.5,12.899999999999999
1985-01-17,13.5,13,9.6,0,1,13.5,13
1985-01-18,13.5,12.8,12,1,1,13.5,12.8
1985-01-19,11,12.8,5.6,-2,1,11,12.8
1985-01-20,11.2,13,8.8,-2,1,11.2,13
1985-01-21,12.8,13.5,10,-1,1,12.8,13.5
1985-01-22,13,13.5,15.8,0,1,13,13.5
1985-01-23,12.1,13.6,14.2,-2,1,12.099999999999998,13.6
1985-01-24,10,13.1,0.5,-3,1,10,13.1
1985-01-25,11.1,12.9,8.6,-2,1,11.1,12.9
1985-01-26,9.8,13.2,6.4,-3,1,9.8,13.2
1985-01-27,8.9,13.4,6.1,-4,1,8.9,13.399999999999999
1985-01-28,9.4,13.3,5.5,-4,1,9.4,13.3
1985-01-29,9,13.5,4.9,-4,1,9,13.5
1985-01-30,9.3,13.5,5.6,-4,1,9.3,13.5
1985-01-31,8.7,13.3,1.5,-5,1,8.7,13.3
1985-02-01,9.2,13.5,7.9,-4,2,9.2,13.5
1985-02-02,12.3,13.6,7.2,-1,2,12.3,13.6
1985-02-03,10.6,13.3,7.8,-3,2,10.6,13.3
1985-02-04,11.5,13.2,3.1,-2,2,11.5,13.2
1985-02-05,9.6,13.3,0.5,-4,2,9.6,13.3
1985-02-06,9.7,13.3,5.6,-4,2,9.7,13.299999999999999
1985-02-07,9.6,13.2,7.4,-4,2,9.6,13.2
1985-02-08,5.6,13.1,7.3,-8,2,5.6,13.1
