Date,Air_temp,Sea_temp,Wind_speed,Air_sea_temp,MM,Air_temp_f,Sea_temp_f
2004-01-01,22.7,NA,4,NA,1,22.7,22.37808580515113
2004-01-02,22.8,NA,7,NA,1,22.8,22.37783146258072
2004-01-03,22.8,NA,7,NA,1,22.8,22.374744132968623
2004-01-04,22.8,NA,7,NA,1,22.8,22.376866583956954
2004-01-05,20,NA,10,NA,1,20,22.378849700795083
2004-01-06,16.6,NA,12,NA,1,16.6,22.38114547530821
2004-01-07,17,NA,8,NA,1,17,22.3925255792145
2004-01-08,22,NA,3,NA,1,22,22.39075770598583
2004-01-09,18.2,NA,8,NA,1,18.2,22.394907037227348
2004-01-10,17.9,NA,9,NA,1,17.9,22.39656922253145
2004-01-11,17.5,NA,6,NA,1,17.5,22.387490085647237
2004-01-12,20.9,NA,4,NA,1,20.9,22.38900338786847
2004-01-13,21.7,NA,4,NA,1,21.7,22.371017872319676
2004-01-14,21.5,NA,3,NA,1,21.5,22.37162076236669
2004-01-15,21.7,NA,4,NA,1,21.7,22.376692691026424
2004-01-16,22,NA,5,NA,1,22,22.376653823458728
2004-01-17,19.6,NA,4,NA,1,19.6,22.34690469134024
2004-01-18,16.8,NA,10,NA,1,16.8,22.347775085038588
2004-01-19,13.6,NA,8,NA,1,13.6,22.35319612557212
2004-01-20,16.3,NA,4,NA,1,16.3,22.35023449240432
2004-01-21,21.3,NA,4,NA,1,21.3,22.34927553865016
2004-01-22,20.7,NA,6,NA,1,20.7,22.354523872482005
2004-01-23,21.6,NA,6,NA,1,21.6,22.37521617734879
2004-01-24,21.8,NA,7,NA,1,21.8,22.37474319810455
2004-01-25,19.8,NA,0,NA,1,19.8,22.375093023711965
2004-01-26,21,NA,0,NA,1,21,22.37360928267875
2004-01-27,14.1,NA,10,NA,1,14.1,22.37356296636055
2004-01-28,17.2,NA,6,NA,1,17.2,22.381108780010557
2004-01-29,21.7,NA,9,NA,1,21.7,22.378279001135706
2004-01-30,NA,NA,NA,NA,1,19.687376107535567,22.37484928896722
2004-01-31,18.3,NA,4,NA,1,18.3,22.3673705119173
2004-02-01,21,NA,8,NA,2,21,22.357147653358965
